,0,1,2,3
"[0.0, 300.0]",-2.6276877454159546,-2.628845038755574,-2.6434625989358924,-2.6291007088118192
"[0.0, 240.0]",-2.2430510809171045,-2.2508340392358193,-2.2482005360994717,-2.2434900111272684
"[60.0, 240.0]",-2.9305391412355335,-2.9269002482736544,-2.9284557458152034,-2.9250634100123225
"[120.0, 240.0]",-22.21786406008532,-2.585597536957199,-13.12541872310217,-2.598128831518517
"[120.0, 300.0]",-2.2945412851495988,-2.2514662943699912,-1.572774658896578,-2.2569632142217424
"[180.0, 300.0]",-28.22694674017248,-1.617536646031033,1.0217552096152829,-1.6539629056695206
terminal,0.0,0.0,0.0,0.0
"[60.0, 300.0]",-2.7516155701509417,-2.76067728352624,-2.7128926846442973,-2.7530916974128545
"[60.0, 180.0]",-20.638571635634445,-3.0955534585653357,-16.548623854991238,-3.0934884701827587
"[0.0, 180.0]",-1.966121758028791,-1.9730454529938233,-1.9780704863937035,-1.9668800432208664
"[0.0, 120.0]",-1.8399391890822474,-1.8397384146634146,-7.72553055720799,-1.837449868587323
"[0.0, 60.0]",-1.730921433287575,-1.7358292394253383,-1.7672808817656473,-1.7304453435329257
"[60.0, 60.0]",-5.162311608492751,-31.05509141309219,-23.76572856528962,-5.158386963353937
"[240.0, 300.0]",6.684573432836612,-0.9977289455407515,-10.466174574128356,-1.0817163709944095
"[240.0, 240.0]",17.95275106027419,-0.4554028651466681,-0.5005866350435985,-12.247897700103202
"[300.0, 240.0]",-0.36409600990136876,-3.940399,-0.3730536268419389,-0.1659464337655688
"[240.0, 180.0]",-11.361512828387072,0.16009565360336386,-0.2606553182050942,37.54733095725374
"[300.0, 180.0]",-0.24694639115064923,-0.25761661319646756,-0.24702287402953374,0.46552160478149707
"[300.0, 120.0]",-0.18286965389658877,-0.17511818236523866,-0.17817873576655072,-1.99
"[180.0, 180.0]",63.82855393595868,-10.466174574128356,1.3478609033797972,-7.72553055720799
"[300.0, 60.0]",-0.1193389977617673,-0.12311692730071501,-0.11907559648611374,-0.12546358238730543
"[240.0, 60.0]",-0.059850199850059994,-1.0,-0.061689396864923564,-0.06124859985840572
"[180.0, 120.0]",-0.012754185712834067,2.2437577871174126,-3.940399,91.72956676235268
"[180.0, 60.0]",-0.01999,1.4767329630732773,-0.01009,-1.0
